"Notes","State of Residence","State of Residence Code","2023 Metro/Nonmetro","2023 Metro/Nonmetro Code","Mother's Hispanic Origin","Mother's Hispanic Origin Code","Source of Payment for Delivery","Source of Payment for Delivery Code","Maternal Morbidity Checked","Maternal Morbidity Checked Code",Births
,"Alabama","01","Metro","Metro","Hispanic or Latino","2135-2","Medicaid","1","At least one checked","0",155
,"Alabama","01","Metro","Metro","Hispanic or Latino","2135-2","Medicaid","1","None checked","1",9600
,"Alabama","01","Metro","Metro","Hispanic or Latino","2135-2","Private Insurance","2","At least one checked","0",76
,"Alabama","01","Metro","Metro","Hispanic or Latino","2135-2","Private Insurance","2","None checked","1",5962
,"Alabama","01","Metro","Metro","Hispanic or Latino","2135-2","Self Pay","3","At least one checked","0",23
,"Alabama","01","Metro","Metro","Hispanic or Latino","2135-2","Self Pay","3","None checked","1",977
,"Alabama","01","Metro","Metro","Hispanic or Latino","2135-2","Other","4","At least one checked","0",46
,"Alabama","01","Metro","Metro","Hispanic or Latino","2135-2","Other","4","None checked","1",2281
,"Alabama","01","Metro","Metro","Hispanic or Latino","2135-2","Unknown or Not Stated","9","None checked","1",15
,"Alabama","01","Metro","Metro","Not Hispanic or Latino","2186-5","Medicaid","1","At least one checked","0",533
,"Alabama","01","Metro","Metro","Not Hispanic or Latino","2186-5","Medicaid","1","None checked","1",47893
,"Alabama","01","Metro","Metro","Not Hispanic or Latino","2186-5","Private Insurance","2","At least one checked","0",1211
,"Alabama","01","Metro","Metro","Not Hispanic or Latino","2186-5","Private Insurance","2","None checked","1",79088
,"Alabama","01","Metro","Metro","Not Hispanic or Latino","2186-5","Self Pay","3","At least one checked","0",65
,"Alabama","01","Metro","Metro","Not Hispanic or Latino","2186-5","Self Pay","3","None checked","1",2926
,"Alabama","01","Metro","Metro","Not Hispanic or Latino","2186-5","Other","4","At least one checked","0",73
,"Alabama","01","Metro","Metro","Not Hispanic or Latino","2186-5","Other","4","None checked","1",4599
,"Alabama","01","Metro","Metro","Not Hispanic or Latino","2186-5","Unknown or Not Stated","9","None checked","1",48
,"Alabama","01","Metro","Metro","Unknown or Not Stated","9","Private Insurance","2","None checked","1",19
,"Alabama","01","Nonmetro","Nonmetro","Hispanic or Latino","2135-2","Medicaid","1","At least one checked","0",43
,"Alabama","01","Nonmetro","Nonmetro","Hispanic or Latino","2135-2","Medicaid","1","None checked","1",3579
,"Alabama","01","Nonmetro","Nonmetro","Hispanic or Latino","2135-2","Private Insurance","2","At least one checked","0",13
,"Alabama","01","Nonmetro","Nonmetro","Hispanic or Latino","2135-2","Private Insurance","2","None checked","1",1385
