Notes,State of Residence,State of Residence Code,Mother's Single Race 6,Mother's Single Race 6 Code,Age of Mother 10,Age of Mother 10 Code,Mother's Education,Mother's Education Code,Maternal Morbidity Checked,Maternal Morbidity Checked Code,Births
,Alabama,1,American Indian or Alaska Native,1002-5,15 - 17 years,15-17,9th through 12th grade with no diploma,2,None checked,1,12
,Alabama,1,American Indian or Alaska Native,1002-5,18 - 19 years,18-19,8th grade or less,1,None checked,1,11
,Alabama,1,American Indian or Alaska Native,1002-5,18 - 19 years,18-19,High school graduate or GED completed,3,None checked,1,31
,Alabama,1,American Indian or Alaska Native,1002-5,20-24 years,20-24,8th grade or less,1,None checked,1,44
,Alabama,1,American Indian or Alaska Native,1002-5,20-24 years,20-24,9th through 12th grade with no diploma,2,None checked,1,17
,Alabama,1,American Indian or Alaska Native,1002-5,20-24 years,20-24,High school graduate or GED completed,3,None checked,1,96
,Alabama,1,American Indian or Alaska Native,1002-5,20-24 years,20-24,"Some college credit, but not a degree",4,None checked,1,23
,Alabama,1,American Indian or Alaska Native,1002-5,20-24 years,20-24,"Associate degree (AA, AS)",5,None checked,1,12
,Alabama,1,American Indian or Alaska Native,1002-5,25-29 years,25-29,8th grade or less,1,None checked,1,33
,Alabama,1,American Indian or Alaska Native,1002-5,25-29 years,25-29,9th through 12th grade with no diploma,2,None checked,1,14
,Alabama,1,American Indian or Alaska Native,1002-5,25-29 years,25-29,High school graduate or GED completed,3,None checked,1,53
,Alabama,1,American Indian or Alaska Native,1002-5,25-29 years,25-29,"Some college credit, but not a degree",4,None checked,1,36
,Alabama,1,American Indian or Alaska Native,1002-5,25-29 years,25-29,"Associate degree (AA, AS)",5,None checked,1,31
,Alabama,1,American Indian or Alaska Native,1002-5,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,None checked,1,23
,Alabama,1,American Indian or Alaska Native,1002-5,30-34 years,30-34,8th grade or less,1,None checked,1,30
,Alabama,1,American Indian or Alaska Native,1002-5,30-34 years,30-34,High school graduate or GED completed,3,None checked,1,45
,Alabama,1,American Indian or Alaska Native,1002-5,30-34 years,30-34,"Some college credit, but not a degree",4,None checked,1,21
,Alabama,1,American Indian or Alaska Native,1002-5,30-34 years,30-34,"Associate degree (AA, AS)",5,None checked,1,18
,Alabama,1,American Indian or Alaska Native,1002-5,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,None checked,1,28
,Alabama,1,American Indian or Alaska Native,1002-5,35-39 years,35-39,8th grade or less,1,None checked,1,16
,Alabama,1,American Indian or Alaska Native,1002-5,35-39 years,35-39,High school graduate or GED completed,3,None checked,1,12
,Alabama,1,American Indian or Alaska Native,1002-5,35-39 years,35-39,"Some college credit, but not a degree",4,None checked,1,11
,Alabama,1,American Indian or Alaska Native,1002-5,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,None checked,1,12
,Alabama,1,Asian,A,20-24 years,20-24,8th grade or less,1,None checked,1,13
,Alabama,1,Asian,A,20-24 years,20-24,9th through 12th grade with no diploma,2,None checked,1,24
,Alabama,1,Asian,A,20-24 years,20-24,High school graduate or GED completed,3,None checked,1,84
,Alabama,1,Asian,A,20-24 years,20-24,"Some college credit, but not a degree",4,None checked,1,36
,Alabama,1,Asian,A,20-24 years,20-24,"Associate degree (AA, AS)",5,None checked,1,21
,Alabama,1,Asian,A,20-24 years,20-24,"Bachelor's degree (BA, AB, BS)",6,None checked,1,31
,Alabama,1,Asian,A,25-29 years,25-29,8th grade or less,1,None checked,1,16
,Alabama,1,Asian,A,25-29 years,25-29,9th through 12th grade with no diploma,2,None checked,1,31
,Alabama,1,Asian,A,25-29 years,25-29,High school graduate or GED completed,3,None checked,1,171
,Alabama,1,Asian,A,25-29 years,25-29,"Some college credit, but not a degree",4,None checked,1,95
,Alabama,1,Asian,A,25-29 years,25-29,"Associate degree (AA, AS)",5,None checked,1,49
,Alabama,1,Asian,A,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,At least one checked,0,15
,Alabama,1,Asian,A,25-29 years,25-29,"Bachelor's degree (BA, AB, BS)",6,None checked,1,271
,Alabama,1,Asian,A,25-29 years,25-29,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,None checked,1,119
,Alabama,1,Asian,A,25-29 years,25-29,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,None checked,1,36
,Alabama,1,Asian,A,30-34 years,30-34,8th grade or less,1,None checked,1,14
,Alabama,1,Asian,A,30-34 years,30-34,9th through 12th grade with no diploma,2,None checked,1,29
,Alabama,1,Asian,A,30-34 years,30-34,High school graduate or GED completed,3,None checked,1,179
,Alabama,1,Asian,A,30-34 years,30-34,"Some college credit, but not a degree",4,None checked,1,79
,Alabama,1,Asian,A,30-34 years,30-34,"Associate degree (AA, AS)",5,None checked,1,76
,Alabama,1,Asian,A,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,At least one checked,0,17
,Alabama,1,Asian,A,30-34 years,30-34,"Bachelor's degree (BA, AB, BS)",6,None checked,1,409
,Alabama,1,Asian,A,30-34 years,30-34,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,None checked,1,315
,Alabama,1,Asian,A,30-34 years,30-34,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,None checked,1,179
,Alabama,1,Asian,A,35-39 years,35-39,8th grade or less,1,None checked,1,13
,Alabama,1,Asian,A,35-39 years,35-39,9th through 12th grade with no diploma,2,None checked,1,11
,Alabama,1,Asian,A,35-39 years,35-39,High school graduate or GED completed,3,None checked,1,99
,Alabama,1,Asian,A,35-39 years,35-39,"Some college credit, but not a degree",4,None checked,1,60
,Alabama,1,Asian,A,35-39 years,35-39,"Associate degree (AA, AS)",5,None checked,1,47
,Alabama,1,Asian,A,35-39 years,35-39,"Bachelor's degree (BA, AB, BS)",6,None checked,1,232
,Alabama,1,Asian,A,35-39 years,35-39,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,None checked,1,160
,Alabama,1,Asian,A,35-39 years,35-39,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,None checked,1,119
,Alabama,1,Asian,A,40-44 years,40-44,High school graduate or GED completed,3,None checked,1,39
,Alabama,1,Asian,A,40-44 years,40-44,"Some college credit, but not a degree",4,None checked,1,16
,Alabama,1,Asian,A,40-44 years,40-44,"Associate degree (AA, AS)",5,None checked,1,14
,Alabama,1,Asian,A,40-44 years,40-44,"Bachelor's degree (BA, AB, BS)",6,None checked,1,66
,Alabama,1,Asian,A,40-44 years,40-44,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7,None checked,1,25
,Alabama,1,Asian,A,40-44 years,40-44,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8,None checked,1,29
,Alabama,1,Black or African American,2054-5,Under 15 years,15-,8th grade or less,1,None checked,1,40
,Alabama,1,Black or African American,2054-5,Under 15 years,15-,9th through 12th grade with no diploma,2,None checked,1,29
,Alabama,1,Black or African American,2054-5,15 - 17 years,15-17,8th grade or less,1,None checked,1,62
,Alabama,1,Black or African American,2054-5,15 - 17 years,15-17,9th through 12th grade with no diploma,2,At least one checked,0,12
,Alabama,1,Black or African American,2054-5,15 - 17 years,15-17,9th through 12th grade with no diploma,2,None checked,1,794
,Alabama,1,Black or African American,2054-5,15 - 17 years,15-17,High school graduate or GED completed,3,None checked,1,124
,Alabama,1,Black or African American,2054-5,18 - 19 years,18-19,8th grade or less,1,None checked,1,26
,Alabama,1,Black or African American,2054-5,18 - 19 years,18-19,9th through 12th grade with no diploma,2,None checked,1,449
,Alabama,1,Black or African American,2054-5,18 - 19 years,18-19,High school graduate or GED completed,3,At least one checked,0,26
,Alabama,1,Black or African American,2054-5,18 - 19 years,18-19,High school graduate or GED completed,3,None checked,1,1679
,Alabama,1,Black or African American,2054-5,18 - 19 years,18-19,"Some college credit, but not a degree",4,None checked,1,290
,Alabama,1,Black or African American,2054-5,18 - 19 years,18-19,"Associate degree (AA, AS)",5,None checked,1,13
,Alabama,1,Black or African American,2054-5,20-24 years,20-24,8th grade or less,1,None checked,1,82
,Alabama,1,Black or African American,2054-5,20-24 years,20-24,9th through 12th grade with no diploma,2,None checked,1,970
,Alabama,1,Black or African American,2054-5,20-24 years,20-24,High school graduate or GED completed,3,At least one checked,0,99
,Alabama,1,Black or African American,2054-5,20-24 years,20-24,High school graduate or GED completed,3,None checked,1,8061
,Alabama,1,Black or African American,2054-5,20-24 years,20-24,"Some college credit, but not a degree",4,At least one checked,0,29
