Notes,State of Residence,State of Residence Code,2023 Metro/Nonmetro,2023 Metro/Nonmetro Code,Mother's Hispanic Origin,Mother's Hispanic Origin Code,Source of Payment for Delivery,Source of Payment for Delivery Code,Maternal Morbidity Checked,Maternal Morbidity Checked Code,Births
,Alabama,1,Metro,Metro,Hispanic or Latino,2135-2,Medicaid,1,At least one checked,0,155
,Alabama,1,Metro,Metro,Hispanic or Latino,2135-2,Medicaid,1,None checked,1,9600
,Alabama,1,Metro,Metro,Hispanic or Latino,2135-2,Private Insurance,2,At least one checked,0,76
,Alabama,1,Metro,Metro,Hispanic or Latino,2135-2,Private Insurance,2,None checked,1,5962
,Alabama,1,Metro,Metro,Hispanic or Latino,2135-2,Self Pay,3,At least one checked,0,23
,Alabama,1,Metro,Metro,Hispanic or Latino,2135-2,Self Pay,3,None checked,1,977
,Alabama,1,Metro,Metro,Hispanic or Latino,2135-2,Other,4,At least one checked,0,46
,Alabama,1,Metro,Metro,Hispanic or Latino,2135-2,Other,4,None checked,1,2281
,Alabama,1,Metro,Metro,Hispanic or Latino,2135-2,Unknown or Not Stated,9,None checked,1,15
,Alabama,1,Metro,Metro,Not Hispanic or Latino,2186-5,Medicaid,1,At least one checked,0,533
,Alabama,1,Metro,Metro,Not Hispanic or Latino,2186-5,Medicaid,1,None checked,1,47893
,Alabama,1,Metro,Metro,Not Hispanic or Latino,2186-5,Private Insurance,2,At least one checked,0,1211
,Alabama,1,Metro,Metro,Not Hispanic or Latino,2186-5,Private Insurance,2,None checked,1,79088
,Alabama,1,Metro,Metro,Not Hispanic or Latino,2186-5,Self Pay,3,At least one checked,0,65
,Alabama,1,Metro,Metro,Not Hispanic or Latino,2186-5,Self Pay,3,None checked,1,2926
,Alabama,1,Metro,Metro,Not Hispanic or Latino,2186-5,Other,4,At least one checked,0,73
,Alabama,1,Metro,Metro,Not Hispanic or Latino,2186-5,Other,4,None checked,1,4599
,Alabama,1,Metro,Metro,Not Hispanic or Latino,2186-5,Unknown or Not Stated,9,None checked,1,48
,Alabama,1,Metro,Metro,Unknown or Not Stated,9,Private Insurance,2,None checked,1,19
,Alabama,1,Nonmetro,Nonmetro,Hispanic or Latino,2135-2,Medicaid,1,At least one checked,0,43
,Alabama,1,Nonmetro,Nonmetro,Hispanic or Latino,2135-2,Medicaid,1,None checked,1,3579
,Alabama,1,Nonmetro,Nonmetro,Hispanic or Latino,2135-2,Private Insurance,2,At least one checked,0,13
,Alabama,1,Nonmetro,Nonmetro,Hispanic or Latino,2135-2,Private Insurance,2,None checked,1,1385
,Alabama,1,Nonmetro,Nonmetro,Hispanic or Latino,2135-2,Self Pay,3,None checked,1,236
,Alabama,1,Nonmetro,Nonmetro,Hispanic or Latino,2135-2,Other,4,At least one checked,0,15
,Alabama,1,Nonmetro,Nonmetro,Hispanic or Latino,2135-2,Other,4,None checked,1,958
,Alabama,1,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Medicaid,1,At least one checked,0,199
,Alabama,1,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Medicaid,1,None checked,1,17946
,Alabama,1,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Private Insurance,2,At least one checked,0,226
,Alabama,1,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Private Insurance,2,None checked,1,17860
,Alabama,1,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Self Pay,3,None checked,1,739
,Alabama,1,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Other,4,At least one checked,0,17
,Alabama,1,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Other,4,None checked,1,1581
,Alabama,1,Nonmetro,Nonmetro,Not Hispanic or Latino,2186-5,Unknown or Not Stated,9,None checked,1,20
,Alaska,2,Metro,Metro,Hispanic or Latino,2135-2,Medicaid,1,At least one checked,0,14
,Alaska,2,Metro,Metro,Hispanic or Latino,2135-2,Medicaid,1,None checked,1,605
,Alaska,2,Metro,Metro,Hispanic or Latino,2135-2,Private Insurance,2,At least one checked,0,11
,Alaska,2,Metro,Metro,Hispanic or Latino,2135-2,Private Insurance,2,None checked,1,680
,Alaska,2,Metro,Metro,Hispanic or Latino,2135-2,Self Pay,3,None checked,1,121
,Alaska,2,Metro,Metro,Hispanic or Latino,2135-2,Other,4,At least one checked,0,30
,Alaska,2,Metro,Metro,Hispanic or Latino,2135-2,Other,4,None checked,1,909
,Alaska,2,Metro,Metro,Hispanic or Latino,2135-2,Unknown or Not Stated,9,None checked,1,20
,Alaska,2,Metro,Metro,Not Hispanic or Latino,2186-5,Medicaid,1,At least one checked,0,153
,Alaska,2,Metro,Metro,Not Hispanic or Latino,2186-5,Medicaid,1,None checked,1,5323
,Alaska,2,Metro,Metro,Not Hispanic or Latino,2186-5,Medicaid,1,Unknown or Not Stated,9,20
,Alaska,2,Metro,Metro,Not Hispanic or Latino,2186-5,Private Insurance,2,At least one checked,0,176
,Alaska,2,Metro,Metro,Not Hispanic or Latino,2186-5,Private Insurance,2,None checked,1,7054
,Alaska,2,Metro,Metro,Not Hispanic or Latino,2186-5,Private Insurance,2,Unknown or Not Stated,9,17
,Alaska,2,Metro,Metro,Not Hispanic or Latino,2186-5,Self Pay,3,At least one checked,0,15
,Alaska,2,Metro,Metro,Not Hispanic or Latino,2186-5,Self Pay,3,None checked,1,735
,Alaska,2,Metro,Metro,Not Hispanic or Latino,2186-5,Other,4,At least one checked,0,159
,Alaska,2,Metro,Metro,Not Hispanic or Latino,2186-5,Other,4,None checked,1,4879
,Alaska,2,Metro,Metro,Not Hispanic or Latino,2186-5,Other,4,Unknown or Not Stated,9,17
,Alaska,2,Metro,Metro,Not Hispanic or Latino,2186-5,Unknown or Not Stated,9,None checked,1,178
,Alaska,2,Metro,Metro,Unknown or Not Stated,9,Medicaid,1,None checked,1,162
,Alaska,2,Metro,Metro,Unknown or Not Stated,9,Private Insurance,2,None checked,1,157
,Alaska,2,Metro,Metro,Unknown or Not Stated,9,Self Pay,3,None checked,1,45
