,coef,se,ci95
State of Residence_Alaska,-0.42671407696763913,0.27726267445896685,0.543434841939575
State of Residence_Arizona,0.3633088783728727,0.2225663243902883,0.4362299958049651
State of Residence_Arkansas,-0.14658933390977522,0.23834841178009966,0.46716288708899534
State of Residence_California,1.1361848903685008,0.20453119414231075,0.40088114051892904
State of Residence_Colorado,0.10434294337102863,0.22828900310880118,0.4474464460932503
State of Residence_Connecticut,-0.1659676669883591,0.2420299724495417,0.4743787460011017
State of Residence_Delaware,-0.20254424633505946,0.24872563647308238,0.48750224748724147
State of Residence_District of Columbia,-1.0270259011079645,0.32262783193250216,0.6323505505877042
State of Residence_Florida,0.5391139024877488,0.21391711572094377,0.4192775468130498
State of Residence_Georgia,0.45989083677952447,0.21688251198545969,0.425089723491501
State of Residence_Hawaii,-0.7325029209393549,0.2945396797777054,0.5772977723643026
State of Residence_Idaho,-0.7148307391289264,0.2771264825156068,0.5431679057305893
State of Residence_Illinois,0.6282370415943775,0.21357230185245385,0.41860171163080956
State of Residence_Indiana,0.16194506616436086,0.22594581428608265,0.442853796000722
State of Residence_Iowa,-0.17838545994495203,0.24072560186955413,0.4718221796643261
State of Residence_Kansas,-0.4970203071334518,0.25637569938592164,0.5024963707964064
State of Residence_Kentucky,-0.17202033851895943,0.23948931563857803,0.4693990586516129
State of Residence_Louisiana,0.010010149056018876,0.2320343840084847,0.45478739265663
State of Residence_Maine,-0.6273382897344962,0.27611311393136784,0.541181703305481
State of Residence_Maryland,0.6607838861343325,0.21344659821669004,0.41835533250471246
State of Residence_Massachusetts,0.5444670471485957,0.21734712154092073,0.4260003582202046
State of Residence_Michigan,0.4721841158391613,0.2171448956320342,0.425603995438787
State of Residence_Minnesota,0.45718181705405675,0.21798144888789667,0.42724363982027747
State of Residence_Mississippi,-0.327940697170772,0.25115381119134494,0.49226146993503606
State of Residence_Missouri,0.03382934260497039,0.2304093420683933,0.45160231045405086
State of Residence_Montana,-0.788428231399676,0.30246231758127956,0.592826142459308
State of Residence_Nebraska,-0.4103846083023926,0.2538841036751704,0.49761284320333393
State of Residence_Nevada,-0.5109559099349521,0.25790923346879047,0.5055020975988294
State of Residence_New Hampshire,-0.7313760951076396,0.28453216393064856,0.5576830413040712
State of Residence_New Jersey,0.5631009646072002,0.2150295458259113,0.4214579098187861
State of Residence_New Mexico,-0.6810659450747724,0.2743509991232651,0.5377279582815996
State of Residence_New York,1.0254858118993255,0.20505976821955396,0.4019171457103258
State of Residence_North Carolina,0.5405025525428195,0.21407485936936133,0.41958672436394817
State of Residence_North Dakota,-1.097817223161445,0.3084138598592285,0.6044911653240878
State of Residence_Ohio,0.7002402967375524,0.21176598769900914,0.4150613358900579
State of Residence_Oklahoma,0.24096515986209616,0.22882881975108627,0.44850448671212906
State of Residence_Oregon,0.04452340341787219,0.23243922336359268,0.45558087779264167
State of Residence_Pennsylvania,0.42213289532298187,0.21732775279012784,0.42596239546865056
State of Residence_Rhode Island,-0.8814915752063216,0.2877325406925766,0.5639557797574501
State of Residence_South Carolina,0.15582554262254927,0.22671290018428158,0.4443572843611919
State of Residence_South Dakota,-0.9330770174879962,0.30095943506613404,0.5898804927296227
State of Residence_Tennessee,0.06549941897074098,0.22868759638011896,0.4482276889050332
State of Residence_Texas,0.78354977733935,0.20801745049988987,0.40771420297978417
State of Residence_Utah,-0.13989569961131754,0.24125047866630908,0.4728509381859658
State of Residence_Vermont,-1.1556697318693663,0.3424959898399043,0.6712921400862124
State of Residence_Virginia,0.1528776551308591,0.22515063176320627,0.4412952382558843
State of Residence_Washington,0.6530154776925376,0.213655642810067,0.4187650599077313
State of Residence_West Virginia,-0.885615490451586,0.2933622573241111,0.5749900243552577
State of Residence_Wisconsin,0.40398623233183534,0.22050877856895973,0.43219720599516104
State of Residence_Wyoming,-1.0597350387572888,0.33546965161585784,0.6575205171670814
Mother's Single Race 6_Asian,1.6958443958773635,0.14954385777956505,0.2931059612479475
Mother's Single Race 6_Black or African American,2.117922249559004,0.1463713034132605,0.28688775468999056
Mother's Single Race 6_More than one race,0.5839897665073206,0.1646928034676275,0.32279789479654986
Mother's Single Race 6_Native Hawaiian or Other Pacific Islander,-1.2739489268148225,0.32897444214428556,0.6447899066027997
Mother's Single Race 6_Not Reported,-0.2058473208031678,1.5612100946749023,3.0599717855628086
Mother's Single Race 6_White,3.084543895296152,0.14395540969418633,0.2821526030006052
Age of Mother 10_18 - 19 years,0.39626599043960115,0.17913556347032605,0.3511057044018391
Age of Mother 10_20-24 years,1.059991552829953,0.1628920085064685,0.3192683366726783
Age of Mother 10_25-29 years,1.4400135862781278,0.16061515032459167,0.3148056946361997
Age of Mother 10_30-34 years,1.5197805850000792,0.16062844013467648,0.3148317426639659
Age of Mother 10_35-39 years,1.2222403175549796,0.16168462388017155,0.3169018628051362
Age of Mother 10_40-44 years,0.2822597710931499,0.1698946729993438,0.33299355907871386
Age of Mother 10_45-49 years,-2.428705481075564,0.34759542861951015,0.6812870400942399
Age of Mother 10_50 years and over,-2.5188563004999316,0.6357261202018605,1.2460231955956464
Age of Mother 10_Under 15 years,-1.9703837711676264,0.691780213266475,1.355889218002291
Mother's Education_9th through 12th grade with no diploma,0.7835413110807482,0.11143077808253778,0.21840432504177404
"Mother's Education_Associate degree (AA, AS)",0.667573701965361,0.11451807697796712,0.22445543087681555
"Mother's Education_Bachelor's degree (BA, AB, BS)",1.3575449315217967,0.10885418328041221,0.21335419922960794
"Mother's Education_Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",0.46855414059206724,0.12589569081800397,0.24675555400328777
Mother's Education_High school graduate or GED completed,1.376241858984542,0.10571076132415393,0.20719309219534168
"Mother's Education_Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1.0173115699305433,0.11376711375535237,0.22298354296049064
"Mother's Education_Some college credit, but not a degree",1.1061627763123651,0.10838653936814333,0.21243761716156093
Mother's Education_Unknown or Not Stated,-0.7191815629402197,0.15686521434802783,0.30745582012213457
